[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:23 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1025
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1024
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:75] Unhandled event type: 1026
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:68] Key pressed: R (mapped to: -1)
[Mon Mar 31 08:56:24 2025][DEBUG][./src/main.c:72] Key released
[Mon Mar 31 08:56:25 2025][DEBUG][./src/main.c:68] Key pressed: R (mapped to: -1)
[Mon Mar 31 08:56:25 2025][DEBUG][./src/main.c:72] Key released
[Mon Mar 31 08:56:25 2025][DEBUG][./src/main.c:68] Key pressed: R (mapped to: -1)
[Mon Mar 31 08:56:25 2025][DEBUG][./src/main.c:72] Key released
[Mon Mar 31 08:56:25 2025][DEBUG][./src/main.c:68] Key pressed: Q (mapped to: -1)
[Mon Mar 31 08:56:25 2025][DEBUG][./src/main.c:72] Key released
[Mon Mar 31 08:56:25 2025][DEBUG][./src/main.c:68] Key pressed: Q (mapped to: -1)
[Mon Mar 31 08:56:25 2025][DEBUG][./src/main.c:72] Key released
[Mon Mar 31 08:56:25 2025][DEBUG][./src/main.c:68] Key pressed: Q (mapped to: -1)
[Mon Mar 31 08:56:26 2025][DEBUG][./src/main.c:72] Key released
[Mon Mar 31 08:56:26 2025][DEBUG][./src/main.c:68] Key pressed: P (mapped to: -1)
[Mon Mar 31 08:56:26 2025][DEBUG][./src/main.c:72] Key released
[Mon Mar 31 08:56:26 2025][DEBUG][./src/main.c:68] Key pressed: P (mapped to: -1)
[Mon Mar 31 08:56:26 2025][DEBUG][./src/main.c:72] Key released
[Mon Mar 31 08:56:26 2025][DEBUG][./src/main.c:68] Key pressed: O (mapped to: -1)
[Mon Mar 31 08:56:26 2025][DEBUG][./src/main.c:72] Key released
[Mon Mar 31 08:56:27 2025][DEBUG][./src/main.c:68] Key pressed: O (mapped to: -1)
[Mon Mar 31 08:56:27 2025][DEBUG][./src/main.c:72] Key released
